    98 WH J000258.7+001114     0.74465    0.18724  0.2445 16.919 17.146   6.08 0.646  19.69   0.90  13          
    99 WH J000300.2+005341     0.75102    0.89470  0.9344 21.083 18.068  10.78 0.692  49.10   2.15  20          
   100 WH J000300.5+012115     0.75189    1.35416  0.7852 21.032 18.112   6.19 0.654  30.40   1.36  20          
   101 WH J000301.7+012940     0.75708    1.49448  0.6684 19.911 18.356   6.57 0.582  29.62   1.33  21          
   102 WH J000303.1+004244     0.76281    0.71232  0.7072 20.018 18.582   7.66 0.720  48.44   2.13  28          
   103 WH J000304.0+022551     0.76650    2.43070  0.7642 20.930 18.301   5.44 0.532  20.69   0.94  13          
   104 WH J000304.2-013023     0.76743   -1.50634  1.3137 22.868 19.094   6.96 0.628  45.99   2.02  15          
   105 WH J000307.3-010359     0.78053   -1.06650  0.9049 20.752 18.205   8.73 0.649  38.46   1.70  19          
   106 WH J000311.1+020933     0.79620    2.15926  0.5079 18.705 17.674   9.28 0.707  41.62   1.84  26          
   107 WH J000312.2+020611     0.80084    2.10311  0.8219 19.796 19.182   6.56 0.677  40.13   1.78  26  WH18    
   108 WH J000313.1+005425     0.80463    0.90703  1.1556 21.177 18.119   7.12 0.611  37.74   1.67  15          
   109 WH J000313.9+005621     0.80795    0.93917  0.8253 20.729 18.426   8.50 0.639  35.42   1.58  16          
   110 WH J000316.5+011523     0.81882    1.25629  1.4978 23.062 19.564   5.25 0.422  19.01   0.87   7          
   111 WH J000317.5+011542     0.82302    1.26167  0.8926 20.584 18.126   5.72 0.490  22.65   1.03   9          
   112 WH J000317.8+004318     0.82404    0.72160  0.7099 20.099 18.119   8.11 0.694  37.52   1.66  25          
   113 WH J000318.2-003747     0.82566   -0.62977  0.8213 21.830 18.580   5.84 0.570  23.74   1.07  11          
   114 WH J000318.5+021752     0.82690    2.29771  0.9074 20.580 18.074   7.83 0.581  32.26   1.44  14          
   115 WH J000318.5-012820     0.82707   -1.47224  1.3364 22.294 18.553   8.68 0.609  43.08   1.90  11          
   116 WH J000319.2+005503     0.82994    0.91757  0.1926 17.359 17.165   8.44 0.737  29.36   1.32  23  WHL     
   117 WH J000321.6-013606     0.83987   -1.60180  0.6546 20.560 18.153   5.12 0.527  21.73   0.99  11          
   118 WH J000323.1+021459     0.84622    2.24984  0.9642 20.894 18.419   9.23 0.616  37.40   1.66  17          
   119 WH J000324.2-004055     0.85073   -0.68205  0.9463 21.338 18.514   5.78 0.597  26.67   1.20  11          
   120 WH J000325.8+003738     0.85752    0.62723  0.6863 19.249 17.626   8.55 0.646  37.38   1.66  21          
   121 WH J000326.5+005711     0.86044    0.95304  1.1528 22.814 19.188   5.16 0.497  24.45   1.10  12          
   122 WH J000326.6+002738     0.86080    0.46063  0.7124 20.119 17.654   5.84 0.632  37.75   1.67  20          
   123 WH J000327.0+021021     0.86261    2.17248  0.7613 20.181 17.903  12.12 0.717  47.24   2.08  16          
   124 WH J000327.5-010602     0.86476   -1.10047  0.8816 20.958 18.740   5.89 0.503  22.92   1.04  11          
   125 WH J000328.4-004024     0.86820   -0.67326  0.7250 20.810 18.577   7.47 0.577  29.31   1.31  14          
   126 WH J000328.5+021819     0.86892    2.30514  0.9436 20.411 17.899   6.90 0.595  27.68   1.24  10          
   127 WH J000328.9+003356     0.87055    0.56545  0.7273 20.093 18.246   9.74 0.665  41.81   1.85  22          
   128 WH J000329.1+011010     0.87135    1.16932  0.8662 21.900 18.938   5.08 0.523  21.29   0.97  13          
   129 WH J000330.7+002757     0.87796    0.46580  0.1842 16.580 16.789   5.35 0.581  15.05   0.69  17  WHL     
   130 WH J000332.1+021559     0.88363    2.26632  0.8221 20.710 18.946   5.57 0.564  21.80   0.99  14          
   131 WH J000332.6+021345     0.88572    2.22922  0.8936 21.788 19.188   6.02 0.676  39.88   1.77  24          
   132 WH J000337.0+014019     0.90416    1.67184  2.0282 24.614 19.711  10.24 0.381  17.85   0.82   8          
   133 WH J000339.5+021409     0.91450    2.23577  0.4633 18.673 17.694   6.90 0.677  34.95   1.55  24  WHL     
   134 WH J000340.4+012943     0.91852    1.49520  0.9131 21.603 18.946   5.12 0.585  22.15   1.00  12          
   135 WH J000340.8+003404     0.92005    0.56781  0.6946 20.062 18.315   6.30 0.533  25.32   1.14  16          
   136 WH J000346.4-012900     0.94354   -1.48322  0.8557 21.378 19.221   5.12 0.578  20.23   0.92  12          
   137 WH J000347.6+015656     0.94849    1.94891  1.0035 21.715 18.730   6.82 0.533  28.59   1.28  14          
   138 WH J000349.1+004310     0.95477    0.71931  0.6792 20.532 18.135   5.49 0.530  23.34   1.06  14  WHL     
