mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
149.20242035388947,1.2744122743606567,1.553714394569397,0.0006798505783081055,175,5e-05,0.001,0.5,0.3,50,gini,"{'n_estimators': 175, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5238504024046485,0.5251309357358911,0.5244906690702698,0.0006402666656212808,15,-0.5742898261290238,-0.5619400687111539,-0.5681149474200888,0.006174878708934961,59
59.6084668636322,0.09441471099853516,0.5897928476333618,0.006019711494445801,100,0.001,0.005,0.5,0.3,50,gini,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5217984327412192,0.5202442888429777,0.5210213607920984,0.0007770719491207445,64,-0.5921400150838647,-0.5819254305364543,-0.5870327228101595,0.005107292273705211,98
97.6502400636673,0.795362114906311,0.7312278747558594,0.008396625518798828,125,0.0001,0.005,0.5,0.4,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5226075919770476,0.5202086065230963,0.521408099250072,0.0011994927269756706,59,-0.5909359296244442,-0.5803364956895068,-0.5856362126569755,0.005299716967468671,86
397.18138098716736,7.160793781280518,2.034566283226013,0.08924639225006104,150,5e-05,5e-05,0.5,0.4,50,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5192794954261635,0.5202488320502591,0.5197641637382113,0.0004846683120477979,81,-0.5256213635001876,-0.5244685577828163,-0.525044960641502,0.000576402858685654,2
151.5161761045456,1.8089462518692017,1.8568902015686035,0.0590975284576416,125,5e-05,5e-05,0.75,0.2,100,gini,"{'n_estimators': 125, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'gini'}",0.5170568113549919,0.5176269058241262,0.5173418585895591,0.0002850472345671262,96,-0.530449313365665,-0.5275620287830962,-0.5290056710743807,0.0014436422912844082,13
274.6131548881531,4.96449875831604,1.863509178161621,0.0067708492279052734,150,5e-05,0.0001,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5199263982114647,0.5220568911496299,0.5209916446805474,0.0010652464690826258,66,-0.5355363647110358,-0.5299016633061897,-0.5327190140086128,0.0028173507024230604,22
109.26499474048615,0.8133324384689331,0.8028266429901123,0.002416849136352539,125,0.0001,0.005,0.75,0.3,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5224317103545423,0.5210122071832026,0.5217219587688724,0.0007097515856698267,49,-0.5900593104251044,-0.5793523208815164,-0.5847058156533105,0.005353494771793976,81
316.7310938835144,4.740166425704956,1.7534314393997192,0.01858079433441162,150,0.001,5e-05,0.75,0.4,20,gini,"{'n_estimators': 150, 'min_samples_split': 0.001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5193650951539541,0.5238624817934554,0.5216137884737048,0.0022486933197506387,50,-0.5528571874458723,-0.5430473445547261,-0.5479522660002992,0.004904921445573085,37
246.60435724258423,6.434018611907959,1.1755462884902954,0.025839686393737793,100,0.001,5e-05,0.5,0.4,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5199938054195233,0.5231613937497099,0.5215775995846166,0.0015837941650932996,52,-0.5461186549749767,-0.5356184844813842,-0.5408685697281804,0.0052500852467962655,29
414.3367500305176,8.779590368270874,2.1132702827453613,0.022363662719726562,150,5e-05,5e-05,0.75,0.3,50,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'entropy'}",0.517850785245068,0.5194512811822409,0.5186510332136545,0.000800247968586465,89,-0.5269909274250257,-0.5244279403751252,-0.5257094339000754,0.0012814935249502724,3
151.7522667646408,2.7962476015090942,0.9334350824356079,0.015033125877380371,125,0.01,5e-05,0.75,0.2,100,entropy,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'entropy'}",0.5224323702482079,0.5235713637817003,0.5230018670149541,0.0005694967667462247,35,-0.5843799019017758,-0.5720631670145029,-0.5782215344581394,0.006158367443636459,67
278.23329520225525,4.281998872756958,2.1454858779907227,0.11624979972839355,175,0.001,0.0001,0.75,0.3,50,gini,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5219523760540989,0.5243019883279467,0.5231271821910228,0.0011748061369238894,34,-0.551914335590671,-0.5416586422449783,-0.5467864889178247,0.005127846672846381,36
123.05202889442444,0.9886484146118164,1.9234459400177002,0.024835824966430664,150,0.0001,0.0001,0.5,0.2,50,gini,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'gini'}",0.5177185152243942,0.5214262321053269,0.5195723736648605,0.0018538584404663716,84,-0.5353535392177182,-0.529586807997336,-0.5324701736075271,0.002883365610191091,21
186.65852880477905,2.710179567337036,1.351538062095642,0.0008894205093383789,150,5e-05,0.001,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.524186048514412,0.5241094301615719,0.5241477393379919,3.8309176420059377e-05,19,-0.5730196701405847,-0.5618752284155758,-0.5674474492780803,0.005572220862504473,53
59.3443443775177,0.5826547145843506,0.6591078042984009,0.015274643898010254,100,0.0001,0.005,0.75,0.2,100,gini,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'gini'}",0.5188245786359768,0.518705719299275,0.5187651489676259,5.9429668350874376e-05,87,-0.5925622097821044,-0.5809044943489268,-0.5867333520655156,0.005828857716588809,95
190.56599116325378,1.7942326068878174,2.1196072101593018,0.10977816581726074,150,5e-05,5e-05,0.5,0.3,50,gini,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5165409684424618,0.5204918529792602,0.518516410710861,0.0019754422683991857,92,-0.5289465649935764,-0.5260173882061722,-0.5274819765998743,0.0014645883937021154,7
142.6982765197754,3.4796698093414307,0.9264684915542603,0.031751275062561035,125,0.01,0.0001,0.75,0.3,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'gini'}",0.5236314309234777,0.5235863519192,0.5236088914213388,2.2539502138874123e-05,25,-0.5842854520830886,-0.5711150623765675,-0.577700257229828,0.006585194853260534,65
