,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,70.92410763104756,2.0251456711943234,4.473472277323405,0.2284799811559673,80,2,10,log2,10,log_loss,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss'}",0.5209948705713945,0.631337230108553,0.6219617667233307,0.5914312891344261,0.04995292199269126,7
21,41.17061392466227,1.7545098802299335,4.550428946812947,0.3927996352487438,20,10,10,sqrt,30,log_loss,"{'n_estimators': 20, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.5147321961111774,0.5936120720505785,0.5883809012555545,0.5655750564724368,0.03601470647996984,96
22,156.462521870931,1.8737947640744912,5.410361607869466,0.1649898064616468,120,5,10,log2,,entropy,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5186389120839795,0.5944172730526065,0.5936595985804182,0.5689052612390014,0.03554502225518485,66
23,50.74844614664713,0.24118104728973108,4.715549786885579,0.5256857768712405,50,2,4,sqrt,10,gini,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5165811761899082,0.6268042466897292,0.6182040499835972,0.5871964909544115,0.05005585450483261,28
24,41.34797787666321,0.2463731424548653,4.346455256144206,0.6348835763846749,20,5,1,log2,,log_loss,"{'n_estimators': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss'}",0.5358463557199094,0.5862757962543242,0.5864423965882318,0.5695215161874886,0.023812031458987526,53
25,107.69856389363606,0.5519106159014019,4.599142710367839,0.13899949696674302,120,5,4,log2,10,entropy,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.5218895383514255,0.6318740307765717,0.6210074259640332,0.5915903316973435,0.04948515750421698,5
26,73.85158117612202,5.588706952616288,3.9869930744171143,0.554927823329601,80,2,2,log2,10,log_loss,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss'}",0.5208457592747227,0.6319336752952404,0.6241686797292058,0.5923160380997229,0.05063644508011725,1
27,17.945016940434773,0.5406047949241284,3.5042122999827066,0.43879671038925766,20,15,10,log2,10,gini,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.5213527376834068,0.6286234045091256,0.6236616862008291,0.5912126094644539,0.0494399024142171,10
28,182.9940574169159,1.9765164800620405,5.9593236446380615,0.1690482754347554,120,5,2,log2,30,log_loss,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'log_loss'}",0.5326255517117977,0.5879458427770488,0.5914228624258149,0.5706647523048871,0.0269352062393001,39
29,25.108267784118652,0.5867941367709304,4.276501178741455,0.29064317282474256,20,15,10,log2,,gini,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.5152391745198617,0.596415364428009,0.591452685574543,0.5677024081741379,0.037152390766033216,82
